[00:00.000 --> 00:00.780]  Hi, I'm Riley.
[00:01.000 --> 00:03.300]  I'm 24 years old and I want to become an athlete.
[00:03.520 --> 00:05.800]  So I decided to sign up for an Ironman 70.3.
[00:05.820 --> 00:06.900]  I can't believe I just did that.
[00:07.000 --> 00:09.980]  And over the next four months of training, my goal is to become one.
[00:10.180 --> 00:11.800]  This is the Ironman series.
[00:14.720 --> 00:17.880]  Let's just say I had a pretty late night last night.
[00:18.190 --> 00:20.450]  It was fun, but I got like three hours of sleep.
[00:20.570 --> 00:24.830]  So I plan on doing this swim at 6am, but it's basically 8.15.
[00:25.170 --> 00:27.090]  Worth it though, to the pool we get.
[00:28.230 --> 00:37.130]  Ironman training has really been teaching me to work with the punches, prioritize training and pushing myself, but also reminding me that there will be days and weeks when it's gonna be hard to show up.
[00:37.230 --> 00:38.930]  Or the workouts may feel really difficult.
[00:39.290 --> 00:44.790]  But I'm gonna trust the training process and hope that all the hours of work that I do put in will carry me through this race.
[00:45.170 --> 00:46.790]  I have a swim in a bike...
[00:46.510 --> 00:51.750]  It's a bike brick session today, so I'm just headed to the pool for an hour long swim of lots of 100s.
[00:51.830 --> 00:55.990]  And then we've got just a one-hour easy bike, so let's get it done.
[00:56.370 --> 01:03.350]  So I'm doing 800 frees, and the first 25 meters is going to be a part-rate zone 6 is the goal.
[01:03.490 --> 01:05.150]  And then the last is zone 4.
[01:06.510 --> 01:07.450]  Let's do this.
[01:08.070 --> 01:10.610]  We are working hard today.
[01:11.530 --> 01:12.110]  Let's do it.
[01:18.760 --> 01:19.880]  Sorry man, you're sick.
[01:20.340 --> 01:20.740]  No fun.
[01:22.600 --> 01:25.780]  Got like two seconds to rest, so here we go again.
[01:32.880 --> 01:35.940]  I'm not gonna lie guys, that was a hard workout, but we did it.
[01:36.720 --> 01:39.860]  And now I just have to do a 200-yard cool-down.
[01:40.120 --> 01:43.620]  And I'm gonna do my favorite drill, which is pull with paddles.
[01:43.780 --> 01:44.380]  And then we're done.
[01:45.220 --> 01:50.260]  Before starting this training block, I had heard about the tough side of endurance sports and body image.
[01:50.620 --> 01:51.320]  We did it!
[01:52.260 --> 01:52.660]  Woo!
[01:54.000 --> 02:00.700]  But then I decided to add period recovery on top of this process, which has just led to it deaging me so much.
[02:00.840 --> 02:03.300]  And I want to dive deeper into that later in this video.
[02:03.520 --> 02:04.380]  Great session done!
[02:06.680 --> 02:12.540]  Today we are running and I'm actually at a track because I've got an interval session, which I haven't done in many moons.
[02:12.760 --> 02:14.800]  Yeah, it's gonna be hard, but it'll be good.
[02:15.700 --> 02:21.120]  To help me train for the running portion of my triathlon, I've been using Runa, a personalized automated running coaching app.
[02:21.200 --> 02:26.400]  Runa offers plans from your first 5k to a 10k PR plan or marathon training and everything in between.
[02:26.540 --> 02:33.560]  This video is obviously sponsored by Runa, so of course I'll be sharing my favorite things that I love about it with you, but I also do that outside of videos too.
[02:33.700 --> 02:38.660]  I recommend Runa to anyone who wants to get into running because I genuinely think it's the best running coaching app out there.
[02:38.660 --> 02:43.180]  I just think it's really easy to use and really, really easy to customize based on your own specific goals.
[02:43.180 --> 02:43.900]  I used it to train for
[03:08.340 --> 03:11.420]  I'm currently one step into my run.
[03:11.760 --> 03:16.480]  I didn't sleep very well and I just don't think I'm gonna be able to give this workout my best.
[03:16.680 --> 03:21.180]  So I'm gonna do three miles and then make up the rest probably tomorrow.
[03:21.340 --> 03:27.500]  It's interesting in training there's this balance of listening to your body but also making sure that you're not just not showing up.
[03:27.600 --> 03:38.220]  For me today I drove here I got out on this run with every intention of giving in my best and if today I can't give the 100% I'm gonna give the percent that I can and then I'm gonna keep moving forward.
[03:40.150 --> 03:42.910]  Over the course of filming this video, I did need someone.
[03:43.370 --> 03:52.150]  And you can see my performance dropping a little bit because instead of prioritizing early morning workouts and making sure I finish every single workout on my plan, there's a little more give and take.
[03:52.370 --> 04:00.510]  And a shift in my priorities that I honestly think is perfectly okay because that's what comes with getting to know somebody better and prioritizing spending time with them.
[04:00.610 --> 04:04.530]  And if that means I have to give up a couple good workouts, that's a sacrifice that's worth it.
[04:04.510 --> 04:06.650]  I just ran into the store and picked up some cottage cheese.
[04:06.990 --> 04:08.670]  And by the time I get home, I'll be done with my run.
[04:08.910 --> 04:12.410]  I love pairing to-dos, going for a run.
[04:13.390 --> 04:15.110]  And it turns it into more of an adventure.
[04:17.280 --> 04:21.780]  I know I just posted a video about fixing my sleep, but right after I filmed that video, I traveled.
